country,country_code,Active Personnel,Armored Vehicles,Attack Helicopters,Dedicated Attack,Fighters/Interceptors,Helicopters,Rocket Projectors,Self-Propelled Artillery,Special-Mission,Tanks,Total Aircraft Strength,Towed Artillery,Trainers,Transports
Russia,RUS,850000,30122,544,739,4173,1543,3391,6574,132,12420,4173,7571,522,445
Ukraine,UKR,200000,12303,34,29,318,112,490,1067,5,2596,318,2040,71,32
