country,activeDuty,paramilitary,reserves,total,pop2022,alliance
Qatar,16500,5000,0,21500,2979.915,Neither
Republic of the Congo,10000,2000,0,12000,5797.805,Neither
Romania,69300,57000,50000,176300,19031.335,NATO
Russia,1014000,554000,2000000,3568000,145805.947,CSTO
Rwanda,33000,2000,0,35000,13600.464,Neither
Saudi Arabia,227000,24500,0,251500,35844.909,Neither
Senegal,13600,5000,0,18600,17653.671,Neither
Serbia,28150,3700,50150,82000,8653.016,Neither
Seychelles,420,0,0,420,99.426,Neither
Sierra Leone,8500,0,0,8500,8306.436,Neither
Singapore,51000,7400,252500,310900,5943.546,Neither
Slovakia,15850,0,0,15850,5460.193,NATO
Slovenia,7250,5950,1500,14700,2078.034,NATO
Somalia,19800,0,0,19800,16841.795,Neither
South Africa,65350,0,15050,80400,60756.135,Neither
South Korea,599000,3013500,3100000,6712500,51329.899,Neither
South Sudan,185000,0,0,185000,11618.511,Neither
Spain,120350,75800,15150,211300,46719.142,NATO
Sri Lanka,255000,92600,5500,353100,21575.842,Neither
Sudan,104300,105000,0,209300,45992.02,Neither
Suriname,1840,0,0,1840,596.831,Neither
Sweden,29750,21200,0,50950,10218.971,Neither
Switzerland,19550,0,196450,216000,8773.637,Neither
Syria,169000,100000,0,269000,19364.809,Neither
Taiwan,163000,11800,1657000,1831800,23888.595,Neither
Tajikistan,8800,7500,0,16300,9957.464,CSTO
Tanzania,27000,1400,80000,108400,63298.55,Neither
Thailand,360850,138700,200000,699550,70078.203,Neither
Togo,8550,750,0,9300,8680.837,Neither
Trinidad and Tobago,4050,0,0,4050,1406.585,Neither
Tunisia,35800,12000,0,47800,12046.656,Neither
Turkey,355200,156800,378700,890700,85561.976,NATO
Turkmenistan,36500,5000,0,41500,6201.943,Neither
Uganda,45000,1400,10000,56400,48432.863,Neither
Ukraine,209000,102000,900000,1211000,43192.122,Neither
United Arab Emirates,63000,0,0,63000,10081.785,Neither
United Kingdom,148500,0,78600,227100,68497.907,NATO
United States,1388100,0,844950,2233050,334805.269,NATO
Uruguay,21000,1400,0,22400,3496.016,Neither
Uzbekistan,48000,20000,0,68000,34382.084,Neither
Venezuela,123000,220000,8000,351000,29266.991,Neither
Vietnam,482000,5040000,5000000,10522000,98953.541,Neither
Yemen,40000,0,0,40000,31154.867,Neither
Zambia,15100,1400,3000,19500,19470.234,Neither
Zimbabwe,29000,21800,0,50800,15331.428,Neither
Neither,15700160,22657110,20280440,58637710,6766094.329,root
NATO,3285560,778750,2322850,6387160,957893.929,root
CSTO,1162850,716800,2499500,4379150,194101.491,root
root,,,,,,
