Country,Military Spending (Billions),Army Size (Millions),Military Aircraft (Thousands),Military Land Vehicles (Thousands),Artillery (Thousands)
Ukraine,43.99774916,1.211,0.601,14.899,3.597
Russia,86.37310225,3.568,8.098,42.542,17.536
